device_id,product_line_id,manufacturer,product_type,architecture_class,family,series,product_line,device_name,generic_device_name,manufacturer_variant_code,processor_cores,max_clock_hz,flash_bytes,ram_bytes,package_types,pin_counts,memory_regions_json,features_json,documents_json,svd_files,lifecycle,source_id,source_url,source_version,observed_at,verification_status
stmicroelectronics::stm32c011d6yxtr,stmicroelectronics::stm32::stm32c0::stm32c011,STMicroelectronics,general_purpose_mcu,Cortex-M0+,STM32,STM32C0,STM32C011,STM32C011D6YxTR,STM32C011D6YxTR,D6YxTR,"[{""Dclock"": ""48000000"", ""Dcore"": ""Cortex-M0+"", ""DcoreVersion"": ""r0p1"", ""Ddsp"": ""NO_DSP"", ""Dendian"": ""Little-endian"", ""Dfpu"": ""NO_FPU"", ""Dmpu"": ""MPU""}]",48000000,,6144,CSP,12,"[{""access"": ""rx"", ""default"": ""1"", ""name"": ""Flash"", ""size"": ""0x00008000"", ""start"": ""0x08000000"", ""startup"": ""1""}, {""access"": ""rwx"", ""default"": ""1"", ""name"": ""SRAM"", ""size"": ""0x00001800"", ""start"": ""0x20000000""}]","[{""n"": ""12"", ""type"": ""CSP""}]","[{""name"": ""https://developer.arm.com/documentation/dui0662/latest"", ""title"": ""Cortex-M0+ Generic User Guide""}, {""name"": ""https://www.st.com/resource/en/reference_manual/rm0490-stm32c0x1-advanced-armbased-32bit-mcus-stmicroelectronics.pdf"", ""title"": ""STM32C0x1 Reference Manual""}, {""name"": ""https://www.st.com/resource/en/datasheet/stm32c011d6.pdf"", ""title"": ""STM32C011x4/x6 Datasheet""}]",CMSIS/SVD/STM32C011.svd,unknown,cmsis:Keil.STM32C0xx_DFP@2.4.0,https://www.keil.com/pack/Keil.STM32C0xx_DFP.pdsc,2.4.0,2026-08-11T12:20:28+00:00,cmsis_pack_metadata
stmicroelectronics::stm32c011f4px,stmicroelectronics::stm32::stm32c0::stm32c011,STMicroelectronics,general_purpose_mcu,Cortex-M0+,STM32,STM32C0,STM32C011,STM32C011F4Px,STM32C011F4Px,F4Px,"[{""Dclock"": ""48000000"", ""Dcore"": ""Cortex-M0+"", ""DcoreVersion"": ""r0p1"", ""Ddsp"": ""NO_DSP"", ""Dendian"": ""Little-endian"", ""Dfpu"": ""NO_FPU"", ""Dmpu"": ""MPU""}]",48000000,,6144,SOP,20,"[{""access"": ""rx"", ""default"": ""1"", ""name"": ""Flash"", ""size"": ""0x00004000"", ""start"": ""0x08000000"", ""startup"": ""1""}, {""access"": ""rwx"", ""default"": ""1"", ""name"": ""SRAM"", ""size"": ""0x00001800"", ""start"": ""0x20000000""}]","[{""n"": ""20"", ""type"": ""SOP""}]","[{""name"": ""https://developer.arm.com/documentation/dui0662/latest"", ""title"": ""Cortex-M0+ Generic User Guide""}, {""name"": ""https://www.st.com/resource/en/reference_manual/rm0490-stm32c0x1-advanced-armbased-32bit-mcus-stmicroelectronics.pdf"", ""title"": ""STM32C0x1 Reference Manual""}, {""name"": ""https://www.st.com/resource/en/datasheet/stm32c011d6.pdf"", ""title"": ""STM32C011x4/x6 Datasheet""}]",CMSIS/SVD/STM32C011.svd,unknown,cmsis:Keil.STM32C0xx_DFP@2.4.0,https://www.keil.com/pack/Keil.STM32C0xx_DFP.pdsc,2.4.0,2026-08-11T12:20:28+00:00,cmsis_pack_metadata
stmicroelectronics::stm32c011f4ux,stmicroelectronics::stm32::stm32c0::stm32c011,STMicroelectronics,general_purpose_mcu,Cortex-M0+,STM32,STM32C0,STM32C011,STM32C011F4Ux,STM32C011F4Ux,F4Ux,"[{""Dclock"": ""48000000"", ""Dcore"": ""Cortex-M0+"", ""DcoreVersion"": ""r0p1"", ""Ddsp"": ""NO_DSP"", ""Dendian"": ""Little-endian"", ""Dfpu"": ""NO_FPU"", ""Dmpu"": ""MPU""}]",48000000,,6144,QFP,20,"[{""access"": ""rx"", ""default"": ""1"", ""name"": ""Flash"", ""size"": ""0x00004000"", ""start"": ""0x08000000"", ""startup"": ""1""}, {""access"": ""rwx"", ""default"": ""1"", ""name"": ""SRAM"", ""size"": ""0x00001800"", ""start"": ""0x20000000""}]","[{""n"": ""20"", ""type"": ""QFP""}]","[{""name"": ""https://developer.arm.com/documentation/dui0662/latest"", ""title"": ""Cortex-M0+ Generic User Guide""}, {""name"": ""https://www.st.com/resource/en/reference_manual/rm0490-stm32c0x1-advanced-armbased-32bit-mcus-stmicroelectronics.pdf"", ""title"": ""STM32C0x1 Reference Manual""}, {""name"": ""https://www.st.com/resource/en/datasheet/stm32c011d6.pdf"", ""title"": ""STM32C011x4/x6 Datasheet""}]",CMSIS/SVD/STM32C011.svd,unknown,cmsis:Keil.STM32C0xx_DFP@2.4.0,https://www.keil.com/pack/Keil.STM32C0xx_DFP.pdsc,2.4.0,2026-08-11T12:20:28+00:00,cmsis_pack_metadata
stmicroelectronics::stm32c011f4uxtr,stmicroelectronics::stm32::stm32c0::stm32c011,STMicroelectronics,general_purpose_mcu,Cortex-M0+,STM32,STM32C0,STM32C011,STM32C011F4UxTR,STM32C011F4UxTR,F4UxTR,"[{""Dclock"": ""48000000"", ""Dcore"": ""Cortex-M0+"", ""DcoreVersion"": ""r0p1"", ""Ddsp"": ""NO_DSP"", ""Dendian"": ""Little-endian"", ""Dfpu"": ""NO_FPU"", ""Dmpu"": ""MPU""}]",48000000,,6144,QFP,20,"[{""access"": ""rx"", ""default"": ""1"", ""name"": ""Flash"", ""size"": ""0x00004000"", ""start"": ""0x08000000"", ""startup"": ""1""}, {""access"": ""rwx"", ""default"": ""1"", ""name"": ""SRAM"", ""size"": ""0x00001800"", ""start"": ""0x20000000""}]","[{""n"": ""20"", ""type"": ""QFP""}]","[{""name"": ""https://developer.arm.com/documentation/dui0662/latest"", ""title"": ""Cortex-M0+ Generic User Guide""}, {""name"": ""https://www.st.com/resource/en/reference_manual/rm0490-stm32c0x1-advanced-armbased-32bit-mcus-stmicroelectronics.pdf"", ""title"": ""STM32C0x1 Reference Manual""}, {""name"": ""https://www.st.com/resource/en/datasheet/stm32c011d6.pdf"", ""title"": ""STM32C011x4/x6 Datasheet""}]",CMSIS/SVD/STM32C011.svd,unknown,cmsis:Keil.STM32C0xx_DFP@2.4.0,https://www.keil.com/pack/Keil.STM32C0xx_DFP.pdsc,2.4.0,2026-08-11T12:20:28+00:00,cmsis_pack_metadata
stmicroelectronics::stm32c011f6px,stmicroelectronics::stm32::stm32c0::stm32c011,STMicroelectronics,general_purpose_mcu,Cortex-M0+,STM32,STM32C0,STM32C011,STM32C011F6Px,STM32C011F6Px,F6Px,"[{""Dclock"": ""48000000"", ""Dcore"": ""Cortex-M0+"", ""DcoreVersion"": ""r0p1"", ""Ddsp"": ""NO_DSP"", ""Dendian"": ""Little-endian"", ""Dfpu"": ""NO_FPU"", ""Dmpu"": ""MPU""}]",48000000,,6144,SOP,20,"[{""access"": ""rx"", ""default"": ""1"", ""name"": ""Flash"", ""size"": ""0x00008000"", ""start"": ""0x08000000"", ""startup"": ""1""}, {""access"": ""rwx"", ""default"": ""1"", ""name"": ""SRAM"", ""size"": ""0x00001800"", ""start"": ""0x20000000""}]","[{""n"": ""20"", ""type"": ""SOP""}]","[{""name"": ""https://developer.arm.com/documentation/dui0662/latest"", ""title"": ""Cortex-M0+ Generic User Guide""}, {""name"": ""https://www.st.com/resource/en/reference_manual/rm0490-stm32c0x1-advanced-armbased-32bit-mcus-stmicroelectronics.pdf"", ""title"": ""STM32C0x1 Reference Manual""}, {""name"": ""https://www.st.com/resource/en/datasheet/stm32c011d6.pdf"", ""title"": ""STM32C011x4/x6 Datasheet""}]",CMSIS/SVD/STM32C011.svd,unknown,cmsis:Keil.STM32C0xx_DFP@2.4.0,https://www.keil.com/pack/Keil.STM32C0xx_DFP.pdsc,2.4.0,2026-08-11T12:20:28+00:00,cmsis_pack_metadata
stmicroelectronics::stm32c011f6ux,stmicroelectronics::stm32::stm32c0::stm32c011,STMicroelectronics,general_purpose_mcu,Cortex-M0+,STM32,STM32C0,STM32C011,STM32C011F6Ux,STM32C011F6Ux,F6Ux,"[{""Dclock"": ""48000000"", ""Dcore"": ""Cortex-M0+"", ""DcoreVersion"": ""r0p1"", ""Ddsp"": ""NO_DSP"", ""Dendian"": ""Little-endian"", ""Dfpu"": ""NO_FPU"", ""Dmpu"": ""MPU""}]",48000000,,6144,QFP,20,"[{""access"": ""rx"", ""default"": ""1"", ""name"": ""Flash"", ""size"": ""0x00008000"", ""start"": ""0x08000000"", ""startup"": ""1""}, {""access"": ""rwx"", ""default"": ""1"", ""name"": ""SRAM"", ""size"": ""0x00001800"", ""start"": ""0x20000000""}]","[{""n"": ""20"", ""type"": ""QFP""}]","[{""name"": ""https://developer.arm.com/documentation/dui0662/latest"", ""title"": ""Cortex-M0+ Generic User Guide""}, {""name"": ""https://www.st.com/resource/en/reference_manual/rm0490-stm32c0x1-advanced-armbased-32bit-mcus-stmicroelectronics.pdf"", ""title"": ""STM32C0x1 Reference Manual""}, {""name"": ""https://www.st.com/resource/en/datasheet/stm32c011d6.pdf"", ""title"": ""STM32C011x4/x6 Datasheet""}]",CMSIS/SVD/STM32C011.svd,unknown,cmsis:Keil.STM32C0xx_DFP@2.4.0,https://www.keil.com/pack/Keil.STM32C0xx_DFP.pdsc,2.4.0,2026-08-11T12:20:28+00:00,cmsis_pack_metadata
stmicroelectronics::stm32c011f6uxtr,stmicroelectronics::stm32::stm32c0::stm32c011,STMicroelectronics,general_purpose_mcu,Cortex-M0+,STM32,STM32C0,STM32C011,STM32C011F6UxTR,STM32C011F6UxTR,F6UxTR,"[{""Dclock"": ""48000000"", ""Dcore"": ""Cortex-M0+"", ""DcoreVersion"": ""r0p1"", ""Ddsp"": ""NO_DSP"", ""Dendian"": ""Little-endian"", ""Dfpu"": ""NO_FPU"", ""Dmpu"": ""MPU""}]",48000000,,6144,QFP,20,"[{""access"": ""rx"", ""default"": ""1"", ""name"": ""Flash"", ""size"": ""0x00008000"", ""start"": ""0x08000000"", ""startup"": ""1""}, {""access"": ""rwx"", ""default"": ""1"", ""name"": ""SRAM"", ""size"": ""0x00001800"", ""start"": ""0x20000000""}]","[{""n"": ""20"", ""type"": ""QFP""}]","[{""name"": ""https://developer.arm.com/documentation/dui0662/latest"", ""title"": ""Cortex-M0+ Generic User Guide""}, {""name"": ""https://www.st.com/resource/en/reference_manual/rm0490-stm32c0x1-advanced-armbased-32bit-mcus-stmicroelectronics.pdf"", ""title"": ""STM32C0x1 Reference Manual""}, {""name"": ""https://www.st.com/resource/en/datasheet/stm32c011d6.pdf"", ""title"": ""STM32C011x4/x6 Datasheet""}]",CMSIS/SVD/STM32C011.svd,unknown,cmsis:Keil.STM32C0xx_DFP@2.4.0,https://www.keil.com/pack/Keil.STM32C0xx_DFP.pdsc,2.4.0,2026-08-11T12:20:28+00:00,cmsis_pack_metadata
stmicroelectronics::stm32c011j4mx,stmicroelectronics::stm32::stm32c0::stm32c011,STMicroelectronics,general_purpose_mcu,Cortex-M0+,STM32,STM32C0,STM32C011,STM32C011J4Mx,STM32C011J4Mx,J4Mx,"[{""Dclock"": ""48000000"", ""Dcore"": ""Cortex-M0+"", ""DcoreVersion"": ""r0p1"", ""Ddsp"": ""NO_DSP"", ""Dendian"": ""Little-endian"", ""Dfpu"": ""NO_FPU"", ""Dmpu"": ""MPU""}]",48000000,,6144,,,"[{""access"": ""rx"", ""default"": ""1"", ""name"": ""Flash"", ""size"": ""0x00004000"", ""start"": ""0x08000000"", ""startup"": ""1""}, {""access"": ""rwx"", ""default"": ""1"", ""name"": ""SRAM"", ""size"": ""0x00001800"", ""start"": ""0x20000000""}]","[{""n"": ""8"", ""name"": ""SON"", ""type"": ""PackageOther""}]","[{""name"": ""https://developer.arm.com/documentation/dui0662/latest"", ""title"": ""Cortex-M0+ Generic User Guide""}, {""name"": ""https://www.st.com/resource/en/reference_manual/rm0490-stm32c0x1-advanced-armbased-32bit-mcus-stmicroelectronics.pdf"", ""title"": ""STM32C0x1 Reference Manual""}, {""name"": ""https://www.st.com/resource/en/datasheet/stm32c011d6.pdf"", ""title"": ""STM32C011x4/x6 Datasheet""}]",CMSIS/SVD/STM32C011.svd,unknown,cmsis:Keil.STM32C0xx_DFP@2.4.0,https://www.keil.com/pack/Keil.STM32C0xx_DFP.pdsc,2.4.0,2026-08-11T12:20:28+00:00,cmsis_pack_metadata
stmicroelectronics::stm32c011j6mx,stmicroelectronics::stm32::stm32c0::stm32c011,STMicroelectronics,general_purpose_mcu,Cortex-M0+,STM32,STM32C0,STM32C011,STM32C011J6Mx,STM32C011J6Mx,J6Mx,"[{""Dclock"": ""48000000"", ""Dcore"": ""Cortex-M0+"", ""DcoreVersion"": ""r0p1"", ""Ddsp"": ""NO_DSP"", ""Dendian"": ""Little-endian"", ""Dfpu"": ""NO_FPU"", ""Dmpu"": ""MPU""}]",48000000,,6144,,,"[{""access"": ""rx"", ""default"": ""1"", ""name"": ""Flash"", ""size"": ""0x00008000"", ""start"": ""0x08000000"", ""startup"": ""1""}, {""access"": ""rwx"", ""default"": ""1"", ""name"": ""SRAM"", ""size"": ""0x00001800"", ""start"": ""0x20000000""}]","[{""n"": ""8"", ""name"": ""SON"", ""type"": ""PackageOther""}]","[{""name"": ""https://developer.arm.com/documentation/dui0662/latest"", ""title"": ""Cortex-M0+ Generic User Guide""}, {""name"": ""https://www.st.com/resource/en/reference_manual/rm0490-stm32c0x1-advanced-armbased-32bit-mcus-stmicroelectronics.pdf"", ""title"": ""STM32C0x1 Reference Manual""}, {""name"": ""https://www.st.com/resource/en/datasheet/stm32c011d6.pdf"", ""title"": ""STM32C011x4/x6 Datasheet""}]",CMSIS/SVD/STM32C011.svd,unknown,cmsis:Keil.STM32C0xx_DFP@2.4.0,https://www.keil.com/pack/Keil.STM32C0xx_DFP.pdsc,2.4.0,2026-08-11T12:20:28+00:00,cmsis_pack_metadata
stmicroelectronics::stm32c031c4tx,stmicroelectronics::stm32::stm32c0::stm32c031,STMicroelectronics,general_purpose_mcu,Cortex-M0+,STM32,STM32C0,STM32C031,STM32C031C4Tx,STM32C031C4Tx,C4Tx,"[{""Dclock"": ""48000000"", ""Dcore"": ""Cortex-M0+"", ""DcoreVersion"": ""r0p1"", ""Ddsp"": ""NO_DSP"", ""Dendian"": ""Little-endian"", ""Dfpu"": ""NO_FPU"", ""Dmpu"": ""MPU""}]",48000000,,12288,QFP,48,"[{""access"": ""rx"", ""default"": ""1"", ""name"": ""Flash"", ""size"": ""0x00004000"", ""start"": ""0x08000000"", ""startup"": ""1""}, {""access"": ""rwx"", ""default"": ""1"", ""name"": ""SRAM"", ""size"": ""0x00003000"", ""start"": ""0x20000000""}]","[{""n"": ""48"", ""type"": ""QFP""}]","[{""name"": ""https://developer.arm.com/documentation/dui0662/latest"", ""title"": ""Cortex-M0+ Generic User Guide""}, {""name"": ""https://www.st.com/resource/en/reference_manual/rm0490-stm32c0x1-advanced-armbased-32bit-mcus-stmicroelectronics.pdf"", ""title"": ""STM32C0x1 Reference Manual""}, {""name"": ""https://www.st.com/resource/en/datasheet/stm32c031c4.pdf"", ""title"": ""STM32C031x4/x6 Datasheet""}]",CMSIS/SVD/STM32C031.svd,unknown,cmsis:Keil.STM32C0xx_DFP@2.4.0,https://www.keil.com/pack/Keil.STM32C0xx_DFP.pdsc,2.4.0,2026-08-11T12:20:28+00:00,cmsis_pack_metadata
stmicroelectronics::stm32c031c4ux,stmicroelectronics::stm32::stm32c0::stm32c031,STMicroelectronics,general_purpose_mcu,Cortex-M0+,STM32,STM32C0,STM32C031,STM32C031C4Ux,STM32C031C4Ux,C4Ux,"[{""Dclock"": ""48000000"", ""Dcore"": ""Cortex-M0+"", ""DcoreVersion"": ""r0p1"", ""Ddsp"": ""NO_DSP"", ""Dendian"": ""Little-endian"", ""Dfpu"": ""NO_FPU"", ""Dmpu"": ""MPU""}]",48000000,,12288,QFP,48,"[{""access"": ""rx"", ""default"": ""1"", ""name"": ""Flash"", ""size"": ""0x00004000"", ""start"": ""0x08000000"", ""startup"": ""1""}, {""access"": ""rwx"", ""default"": ""1"", ""name"": ""SRAM"", ""size"": ""0x00003000"", ""start"": ""0x20000000""}]","[{""n"": ""48"", ""type"": ""QFP""}]","[{""name"": ""https://developer.arm.com/documentation/dui0662/latest"", ""title"": ""Cortex-M0+ Generic User Guide""}, {""name"": ""https://www.st.com/resource/en/reference_manual/rm0490-stm32c0x1-advanced-armbased-32bit-mcus-stmicroelectronics.pdf"", ""title"": ""STM32C0x1 Reference Manual""}, {""name"": ""https://www.st.com/resource/en/datasheet/stm32c031c4.pdf"", ""title"": ""STM32C031x4/x6 Datasheet""}]",CMSIS/SVD/STM32C031.svd,unknown,cmsis:Keil.STM32C0xx_DFP@2.4.0,https://www.keil.com/pack/Keil.STM32C0xx_DFP.pdsc,2.4.0,2026-08-11T12:20:28+00:00,cmsis_pack_metadata
stmicroelectronics::stm32c031c6tx,stmicroelectronics::stm32::stm32c0::stm32c031,STMicroelectronics,general_purpose_mcu,Cortex-M0+,STM32,STM32C0,STM32C031,STM32C031C6Tx,STM32C031C6Tx,C6Tx,"[{""Dclock"": ""48000000"", ""Dcore"": ""Cortex-M0+"", ""DcoreVersion"": ""r0p1"", ""Ddsp"": ""NO_DSP"", ""Dendian"": ""Little-endian"", ""Dfpu"": ""NO_FPU"", ""Dmpu"": ""MPU""}]",48000000,,12288,QFP,48,"[{""access"": ""rx"", ""default"": ""1"", ""name"": ""Flash"", ""size"": ""0x00008000"", ""start"": ""0x08000000"", ""startup"": ""1""}, {""access"": ""rwx"", ""default"": ""1"", ""name"": ""SRAM"", ""size"": ""0x00003000"", ""start"": ""0x20000000""}]","[{""n"": ""48"", ""type"": ""QFP""}]","[{""name"": ""https://developer.arm.com/documentation/dui0662/latest"", ""title"": ""Cortex-M0+ Generic User Guide""}, {""name"": ""https://www.st.com/resource/en/reference_manual/rm0490-stm32c0x1-advanced-armbased-32bit-mcus-stmicroelectronics.pdf"", ""title"": ""STM32C0x1 Reference Manual""}, {""name"": ""https://www.st.com/resource/en/datasheet/stm32c031c4.pdf"", ""title"": ""STM32C031x4/x6 Datasheet""}]",CMSIS/SVD/STM32C031.svd,unknown,cmsis:Keil.STM32C0xx_DFP@2.4.0,https://www.keil.com/pack/Keil.STM32C0xx_DFP.pdsc,2.4.0,2026-08-11T12:20:28+00:00,cmsis_pack_metadata
stmicroelectronics::stm32c031c6ux,stmicroelectronics::stm32::stm32c0::stm32c031,STMicroelectronics,general_purpose_mcu,Cortex-M0+,STM32,STM32C0,STM32C031,STM32C031C6Ux,STM32C031C6Ux,C6Ux,"[{""Dclock"": ""48000000"", ""Dcore"": ""Cortex-M0+"", ""DcoreVersion"": ""r0p1"", ""Ddsp"": ""NO_DSP"", ""Dendian"": ""Little-endian"", ""Dfpu"": ""NO_FPU"", ""Dmpu"": ""MPU""}]",48000000,,12288,QFP,48,"[{""access"": ""rx"", ""default"": ""1"", ""name"": ""Flash"", ""size"": ""0x00008000"", ""start"": ""0x08000000"", ""startup"": ""1""}, {""access"": ""rwx"", ""default"": ""1"", ""name"": ""SRAM"", ""size"": ""0x00003000"", ""start"": ""0x20000000""}]","[{""n"": ""48"", ""type"": ""QFP""}]","[{""name"": ""https://developer.arm.com/documentation/dui0662/latest"", ""title"": ""Cortex-M0+ Generic User Guide""}, {""name"": ""https://www.st.com/resource/en/reference_manual/rm0490-stm32c0x1-advanced-armbased-32bit-mcus-stmicroelectronics.pdf"", ""title"": ""STM32C0x1 Reference Manual""}, {""name"": ""https://www.st.com/resource/en/datasheet/stm32c031c4.pdf"", ""title"": ""STM32C031x4/x6 Datasheet""}]",CMSIS/SVD/STM32C031.svd,unknown,cmsis:Keil.STM32C0xx_DFP@2.4.0,https://www.keil.com/pack/Keil.STM32C0xx_DFP.pdsc,2.4.0,2026-08-11T12:20:28+00:00,cmsis_pack_metadata
stmicroelectronics::stm32c031f4px,stmicroelectronics::stm32::stm32c0::stm32c031,STMicroelectronics,general_purpose_mcu,Cortex-M0+,STM32,STM32C0,STM32C031,STM32C031F4Px,STM32C031F4Px,F4Px,"[{""Dclock"": ""48000000"", ""Dcore"": ""Cortex-M0+"", ""DcoreVersion"": ""r0p1"", ""Ddsp"": ""NO_DSP"", ""Dendian"": ""Little-endian"", ""Dfpu"": ""NO_FPU"", ""Dmpu"": ""MPU""}]",48000000,,12288,SOP,20,"[{""access"": ""rx"", ""default"": ""1"", ""name"": ""Flash"", ""size"": ""0x00004000"", ""start"": ""0x08000000"", ""startup"": ""1""}, {""access"": ""rwx"", ""default"": ""1"", ""name"": ""SRAM"", ""size"": ""0x00003000"", ""start"": ""0x20000000""}]","[{""n"": ""20"", ""type"": ""SOP""}]","[{""name"": ""https://developer.arm.com/documentation/dui0662/latest"", ""title"": ""Cortex-M0+ Generic User Guide""}, {""name"": ""https://www.st.com/resource/en/reference_manual/rm0490-stm32c0x1-advanced-armbased-32bit-mcus-stmicroelectronics.pdf"", ""title"": ""STM32C0x1 Reference Manual""}, {""name"": ""https://www.st.com/resource/en/datasheet/stm32c031c4.pdf"", ""title"": ""STM32C031x4/x6 Datasheet""}]",CMSIS/SVD/STM32C031.svd,unknown,cmsis:Keil.STM32C0xx_DFP@2.4.0,https://www.keil.com/pack/Keil.STM32C0xx_DFP.pdsc,2.4.0,2026-08-11T12:20:28+00:00,cmsis_pack_metadata
stmicroelectronics::stm32c031f6px,stmicroelectronics::stm32::stm32c0::stm32c031,STMicroelectronics,general_purpose_mcu,Cortex-M0+,STM32,STM32C0,STM32C031,STM32C031F6Px,STM32C031F6Px,F6Px,"[{""Dclock"": ""48000000"", ""Dcore"": ""Cortex-M0+"", ""DcoreVersion"": ""r0p1"", ""Ddsp"": ""NO_DSP"", ""Dendian"": ""Little-endian"", ""Dfpu"": ""NO_FPU"", ""Dmpu"": ""MPU""}]",48000000,,12288,SOP,20,"[{""access"": ""rx"", ""default"": ""1"", ""name"": ""Flash"", ""size"": ""0x00008000"", ""start"": ""0x08000000"", ""startup"": ""1""}, {""access"": ""rwx"", ""default"": ""1"", ""name"": ""SRAM"", ""size"": ""0x00003000"", ""start"": ""0x20000000""}]","[{""n"": ""20"", ""type"": ""SOP""}]","[{""name"": ""https://developer.arm.com/documentation/dui0662/latest"", ""title"": ""Cortex-M0+ Generic User Guide""}, {""name"": ""https://www.st.com/resource/en/reference_manual/rm0490-stm32c0x1-advanced-armbased-32bit-mcus-stmicroelectronics.pdf"", ""title"": ""STM32C0x1 Reference Manual""}, {""name"": ""https://www.st.com/resource/en/datasheet/stm32c031c4.pdf"", ""title"": ""STM32C031x4/x6 Datasheet""}]",CMSIS/SVD/STM32C031.svd,unknown,cmsis:Keil.STM32C0xx_DFP@2.4.0,https://www.keil.com/pack/Keil.STM32C0xx_DFP.pdsc,2.4.0,2026-08-11T12:20:28+00:00,cmsis_pack_metadata
stmicroelectronics::stm32c031g4ux,stmicroelectronics::stm32::stm32c0::stm32c031,STMicroelectronics,general_purpose_mcu,Cortex-M0+,STM32,STM32C0,STM32C031,STM32C031G4Ux,STM32C031G4Ux,G4Ux,"[{""Dclock"": ""48000000"", ""Dcore"": ""Cortex-M0+"", ""DcoreVersion"": ""r0p1"", ""Ddsp"": ""NO_DSP"", ""Dendian"": ""Little-endian"", ""Dfpu"": ""NO_FPU"", ""Dmpu"": ""MPU""}]",48000000,,12288,QFP,28,"[{""access"": ""rx"", ""default"": ""1"", ""name"": ""Flash"", ""size"": ""0x00004000"", ""start"": ""0x08000000"", ""startup"": ""1""}, {""access"": ""rwx"", ""default"": ""1"", ""name"": ""SRAM"", ""size"": ""0x00003000"", ""start"": ""0x20000000""}]","[{""n"": ""28"", ""type"": ""QFP""}]","[{""name"": ""https://developer.arm.com/documentation/dui0662/latest"", ""title"": ""Cortex-M0+ Generic User Guide""}, {""name"": ""https://www.st.com/resource/en/reference_manual/rm0490-stm32c0x1-advanced-armbased-32bit-mcus-stmicroelectronics.pdf"", ""title"": ""STM32C0x1 Reference Manual""}, {""name"": ""https://www.st.com/resource/en/datasheet/stm32c031c4.pdf"", ""title"": ""STM32C031x4/x6 Datasheet""}]",CMSIS/SVD/STM32C031.svd,unknown,cmsis:Keil.STM32C0xx_DFP@2.4.0,https://www.keil.com/pack/Keil.STM32C0xx_DFP.pdsc,2.4.0,2026-08-11T12:20:28+00:00,cmsis_pack_metadata
stmicroelectronics::stm32c031g6ux,stmicroelectronics::stm32::stm32c0::stm32c031,STMicroelectronics,general_purpose_mcu,Cortex-M0+,STM32,STM32C0,STM32C031,STM32C031G6Ux,STM32C031G6Ux,G6Ux,"[{""Dclock"": ""48000000"", ""Dcore"": ""Cortex-M0+"", ""DcoreVersion"": ""r0p1"", ""Ddsp"": ""NO_DSP"", ""Dendian"": ""Little-endian"", ""Dfpu"": ""NO_FPU"", ""Dmpu"": ""MPU""}]",48000000,,12288,QFP,28,"[{""access"": ""rx"", ""default"": ""1"", ""name"": ""Flash"", ""size"": ""0x00008000"", ""start"": ""0x08000000"", ""startup"": ""1""}, {""access"": ""rwx"", ""default"": ""1"", ""name"": ""SRAM"", ""size"": ""0x00003000"", ""start"": ""0x20000000""}]","[{""n"": ""28"", ""type"": ""QFP""}]","[{""name"": ""https://developer.arm.com/documentation/dui0662/latest"", ""title"": ""Cortex-M0+ Generic User Guide""}, {""name"": ""https://www.st.com/resource/en/reference_manual/rm0490-stm32c0x1-advanced-armbased-32bit-mcus-stmicroelectronics.pdf"", ""title"": ""STM32C0x1 Reference Manual""}, {""name"": ""https://www.st.com/resource/en/datasheet/stm32c031c4.pdf"", ""title"": ""STM32C031x4/x6 Datasheet""}]",CMSIS/SVD/STM32C031.svd,unknown,cmsis:Keil.STM32C0xx_DFP@2.4.0,https://www.keil.com/pack/Keil.STM32C0xx_DFP.pdsc,2.4.0,2026-08-11T12:20:28+00:00,cmsis_pack_metadata
stmicroelectronics::stm32c031k4tx,stmicroelectronics::stm32::stm32c0::stm32c031,STMicroelectronics,general_purpose_mcu,Cortex-M0+,STM32,STM32C0,STM32C031,STM32C031K4Tx,STM32C031K4Tx,K4Tx,"[{""Dclock"": ""48000000"", ""Dcore"": ""Cortex-M0+"", ""DcoreVersion"": ""r0p1"", ""Ddsp"": ""NO_DSP"", ""Dendian"": ""Little-endian"", ""Dfpu"": ""NO_FPU"", ""Dmpu"": ""MPU""}]",48000000,,12288,QFP,32,"[{""access"": ""rx"", ""default"": ""1"", ""name"": ""Flash"", ""size"": ""0x00004000"", ""start"": ""0x08000000"", ""startup"": ""1""}, {""access"": ""rwx"", ""default"": ""1"", ""name"": ""SRAM"", ""size"": ""0x00003000"", ""start"": ""0x20000000""}]","[{""n"": ""32"", ""type"": ""QFP""}]","[{""name"": ""https://developer.arm.com/documentation/dui0662/latest"", ""title"": ""Cortex-M0+ Generic User Guide""}, {""name"": ""https://www.st.com/resource/en/reference_manual/rm0490-stm32c0x1-advanced-armbased-32bit-mcus-stmicroelectronics.pdf"", ""title"": ""STM32C0x1 Reference Manual""}, {""name"": ""https://www.st.com/resource/en/datasheet/stm32c031c4.pdf"", ""title"": ""STM32C031x4/x6 Datasheet""}]",CMSIS/SVD/STM32C031.svd,unknown,cmsis:Keil.STM32C0xx_DFP@2.4.0,https://www.keil.com/pack/Keil.STM32C0xx_DFP.pdsc,2.4.0,2026-08-11T12:20:28+00:00,cmsis_pack_metadata
